,Unnamed: 0,topic,argument,key_point,stance,label
5302,21012,We should prohibit women in combat,we should not prohibit women in combat as they have earned their equal rights and if they want to and feel they can go into combat should be allowed to,Women are an asset in combat,-1,0
5460,21170,We should prohibit women in combat,Woman in combat can equally do just as much as their male counterparts in combat duty.,Women can create unique skills/strategies,-1,0
10124,6987,We should abolish the right to keep and bear arms,avoiding the right to have or carry weapons is important since weapons are dangerous and that everyone has the possibility of having a weapon in their possession. it can be catastrophic for humanity.,Gun ownership allows for mass-shootings/general gun violence,1,1
3567,12621,We should ban the use of child actors,many films and television shows have child roles which could only be filled by children. as long as the children are protected it means that the finished product will have higher artistic integrity.,Child performers should not be banned as long as there is supervision/regulation,-1,1
8322,22177,We should subsidize journalism,"subsidizing journalism may inadvertently have the effect of lowering its worth, since it would have a guaranteed revenue threshold no matter the quality of content.",It is preferable to spend the money elsewhere,-1,0
6041,21751,We should prohibit women in combat,women shouldn't be allowed to fight because then children to parents who are both fighting could be orphaned.,Women should serve in safer roles,1,0
3493,12547,We should ban the use of child actors,if they want to be an actor it is their choice,The parents should decide for their child,-1,0
14603,475,Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness,People should have the freedom to choose to end their life,-1,0
9572,11402,We should ban private military companies,"private military companies can serve as a deterrent to conflicts, increasing the chances of peace.",Private military companies increase safety,-1,1
5183,20893,We should prohibit women in combat,"oh please, we cannot prohibit women in combat. they are just as strong and tough as men and deserve to be treated equally.",Women can create unique skills/strategies,-1,0
9891,11721,We should ban private military companies,these companies make millions in a private sector and they are not necessary.,Private military companies are not professional,1,0
1266,5447,We should abolish capital punishment,"Capital punishment is nothing more than state violence directed towards a person in vengeance, making it morally wrong and an unjustified form of punishment.",The death penalty is a waste of resources,1,0
13765,23015,We should subsidize space exploration,Technologies developed for space exploration have lead to the development of other very valuable technologies.,Space exploration unravels information about the universe,1,0
4734,4837,We should abandon the use of school uniform,the school uniform decreases bullying if you're not dressed in the name brand clothes,School uniforms saves costs,-1,0
16112,2257,The vow of celibacy should be abandoned,celibacy is the only 100% effective way to prevent pregnancy,Removing celibacy could lead to sexually reckless acts,-1,1
94,10231,We should ban human cloning,"contamination can happen very easy, cloning a human with contaminated cells could lead to diseases with no cure being spread worldwide",Cloning is unsafe,1,1
564,10701,We should ban human cloning,human cloning shows us pushing the boundaries of science to their fullest potential. think of all we can learn if we perfect cloning. it shows how far man has come and can continue to go.,Cloning promotes science/research,-1,1
1683,5864,We should abolish capital punishment,some crimes are so heinous that the only just punishment is the death penalty.,The death penalty prevents crimes,-1,0
4485,4588,We should abandon the use of school uniform,school uniforms interfere with the individuality of students and force them to conform.,School uniforms are often uncomfortable/sexist,1,0
10419,7282,We should abolish the right to keep and bear arms,the constitution guarantees the right to bear arms.,Gun ownership is necessary for hunting/sports-shooting,-1,0
7948,21803,We should subsidize journalism,"high-quality journalism requires time, expertise, and research. all of this requires money.",Subsidy increases objectivity in reporting,1,0
8092,21947,We should subsidize journalism,"journalism is necessary to any society, to both report the news and keep people informed of important issues they may not be aware of otherwise.",Journalism is important to information-spreading/accountability,1,1
11046,15418,We should fight for the abolition of nuclear weapons,nuclear weapons should be abolished because it is an ongoing health risk,Nuclear weapons provoke or escalate a disastrous military action,1,0
16448,2593,The vow of celibacy should be abandoned,the vow of celibacy is a personal choice and should be left to the individual,Removing celibacy could lead to sexually reckless acts,-1,0
2255,13281,We should close Guantanamo Bay detention camp,guantanamo bay is outdated and barbaric,The Guantanamo bay detention camp harms the US image/reputation/institutions,1,0
15643,6672,We should abolish intellectual property rights,"maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.",Intellectual property rights harm creativity/innovation,1,1
1513,5694,We should abolish capital punishment,if you kill or rape someone you deserve to die.,The death penalty saves costs to the state,-1,0
4660,4763,We should abandon the use of school uniform,"School uniforms suppress students' freedom of expression, particularly if they otherwise wear religious garb.",School uniform harms learning/creativity,1,0
14497,369,Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offence because pain makes people do some extreme things, but it shouldn't include death.",Assisted suicide is akin to killing someone,1,0
16922,3067,The vow of celibacy should be abandoned,"those adhering to a vow of celibacy show their dedication to their faith, such moral strength is something to be commended.",Priests choose to be celibates,-1,0
3315,12369,We should ban the use of child actors,child actors will do just fine with proper supervision and regulation,Child performers achieve success/confidence,-1,0
15262,6291,We should abolish intellectual property rights,"ideas can not be owned or regulated, therefore they do not belong to a singular person",Intellectual property rights waste money,1,0
11289,17171,We should legalize cannabis,cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.,Cannabis increases lack-of-judgement/accidents,-1,0
16594,2739,The vow of celibacy should be abandoned,the vow of celibacy is unnatural and causes harm.,Celibacy is too pressuring/diffcult,1,0
11607,17489,We should legalize cannabis,cannabis provides an introduction to more addictive drugs and can cause mental illness and so should not be legalized,Cannabis increases lack-of-judgement/accidents,-1,0
6042,21752,We should prohibit women in combat,women shouldn't be allowed to fight because then children to parents who are both fighting could be orphaned.,Women soldier capture is a big concern,1,0
3244,12298,We should ban the use of child actors,child actors get exploited in hollywood and this ban would stop that.,Being a performer harms the child's education,1,0
14557,429,Assisted suicide should be a criminal offence,assisted suicide should be criminalized as no human being has the right to determine whether another human being lives or dies,People who are ill do not have clear judgement and are in need of help,1,0
14364,236,Assisted suicide should be a criminal offence,"assisted suicide is murder, the doctor is giving the weapon to the person with the sole purpose of death.",Assisted suicide should not be allowed because many times people can still get better,1,0
4699,4802,We should abandon the use of school uniform,sometimes kids wants to wear what they like and must wearing school uniform making impossible for them.,School uniforms are often uncomfortable/sexist,1,0
