,Unnamed: 0,topic,argument,key_point,stance,label
9914,11744,We should ban private military companies,they can go where an official government entity cannot,"Private military companies can supplement regular armies in specific tasks that armies cannot, or do not want, to do",-1,1
6507,19648,We should legalize sex selection,"sex selection can be useful for a family to balance out their's; say a family has three boys, and wants a girl.",Sex selection will prevent abortions/infanticide,1,0
13399,22649,We should subsidize space exploration,"space exploration has produced nothing useful, the funding would be better used elsewhere",Space exploration can be carried by the private sector,-1,0
4147,4250,We should abandon the use of school uniform,school uniform prevents students from learning to have their own sense of fashion and individuality.,School uniforms are often uncomfortable/sexist,1,0
11689,17571,We should legalize cannabis,"due to so much controversy and contraband of this substance, it would save many deaths",Legalizing cannabis will reduce black-market/criminal activity,1,1
11584,17466,We should legalize cannabis,cannabis is useful in helping people with mental and physical diseases and legalizing it would make it easier for them to acquire it.,If cannabis was legalized it could be regulated,1,0
12341,18223,We should legalize cannabis,we should legalize cannabis for health purposes,Cannabis is financially beneficial,1,0
13450,22700,We should subsidize space exploration,space exploration is a waste and we need to tend to our own planet's needs first.,Space exploration is ineffective,-1,0
136,10273,We should ban human cloning,"human cloning can be used to re-grow failed organs in the original person, thus possibly saving his life.",Cloning can be used for organ replication,-1,1
1186,5367,We should abolish capital punishment,"capital punishment is basically taking the life of an unarmed, helpless person.",State-sanctioned killing is principally wrong,1,1
14932,804,Assisted suicide should be a criminal offence,people need to die on their own as this would be almost like murder.,Assisted suicide violates the doctor's role,1,0
14525,397,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence for the god's law. god decide your life.,Assisted suicide violates the doctor's role,1,0
1640,5821,We should abolish capital punishment,"Part of the purpose of punishment is to prevent dangerous people from committing further crimes, and capital punishment serves as protection against the most heinous offenders.",The death penalty helps the victim/their family,-1,0
5164,20874,We should prohibit women in combat,many women are just as tough and capable to handle combat as men are,Women are an asset in combat,-1,0
2707,13733,We should close Guantanamo Bay detention camp,there have been abuses of prisoners in this camp. even enemies should not be treated this way.,The Guantanamo bay detention camp is a symbol of discrimination/injustice,1,0
12026,17908,We should legalize cannabis,marijuana harms the brain and any amount of cannabis use may increase the risk of developing mental health problems,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
3908,12962,We should ban the use of child actors,we should not ban the use of child actors because then movies and sows wouldn't have any children in them,Child performers should not be banned as long as there is supervision/regulation,-1,0
4516,4619,We should abandon the use of school uniform,school uniforms let students focus on their studies,Children can still express themselves using other means,-1,0
12603,15696,We should fight urbanization,urbanization and having high concentration of people in these areas will cause and increase in crime.,Urbanization harms the environment,1,0
5304,21014,We should prohibit women in combat,we should not prohibit women in combat as they have earned their equal rights and if they want to and feel they can go into combat should be allowed to,Women can overcome differences and be just as capable in combat,-1,0
8818,14169,We should end affirmative action,affirmative action leads to lower morale in the workplace and demoralization in the jobsearch sector,Affirmative action diminishes the achievements of minorities,1,0
2898,11952,We should ban the use of child actors,acting at a young age not only gives a child the experience that is needed but it also gives them confidence as well as making money that they can use for later on in life,Child performers are necessary for roles,-1,0
1939,6120,We should abolish capital punishment,We should abolish capital punishment because these criminal caught already and put in jail and in spiritual aspect there is a possibility they repent and perhaps become a role model not to commit crime anymore,The death penalty harms the disenfranchised,1,0
3149,12203,We should ban the use of child actors,child actors are really doing labor and child labor is against the law.,Being a performer harms the child's education,1,0
6065,19206,We should legalize sex selection,"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",Sex selection can lead to gender imbalance,-1,0
12151,18033,We should legalize cannabis,the general use of cannabis will be abused and become a risk to the public,Cannabis harms the body,-1,0
15687,6716,We should abolish intellectual property rights,Property rights are essential as it encourages innovative thought and technological advances.,"People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,0
16713,2858,The vow of celibacy should be abandoned,the vow of celibacy should be abandoned because it represents a major barrier to men considering entering the priesthood,Celibacy leads to wrong sexual behaviour,1,0
15090,962,Assisted suicide should be a criminal offence,the sanctity of human life should never be compromised so there is no question but assisted suicide should be a criminal offence.,People do not have the right to self-harm/harm others,1,0
16253,2398,The vow of celibacy should be abandoned,"it needs to be brought up to the current time and be abandoned, they have the same desires as everyone else",Celibacy reduces the pool of people wanting to become priests,1,0
11171,17053,We should legalize cannabis,"alcohol and tobacco cause way more damage to society than cannabis does, yet they are still legal.",Cannabis is financially beneficial,1,0
11362,17244,We should legalize cannabis,cannabis has many valuable medical uses.,Legalizing cannabis will reduce black-market/criminal activity,1,0
9094,14445,We should end affirmative action,we must continue supporting the unprotected classes since they are at a disadvantage and it is our historical duty for years of oppression to help them,Affirmative action is necessary to compensate for the past,-1,1
9286,11116,We should ban private military companies,if we need extra military support in certain areas we should be able to hire them,Private military companies are well-trained/better equipped,-1,0
16628,2773,The vow of celibacy should be abandoned,the vow of celibacy prevents people from performing sinful acts.,Celibacy allows a priest to focus on God,-1,0
16533,2678,The vow of celibacy should be abandoned,the vow of celibacy is no longer relevant in today's society and should be abandoned,Celibacy leads to wrong sexual behaviour,1,0
2098,13124,We should close Guantanamo Bay detention camp,"guantanamo bay detention camp is a large waste of tax payer money, especially since there are facilities within the country that can serve the same purpose",The Guantanamo bay detention camp is expensive,1,1
12002,17884,We should legalize cannabis,Legalizing marijuana would lead to an increased incidence of marijuana addiction.,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
13894,23144,We should subsidize space exploration,this would enable even further exploration into unknown universes and discoveries we could not have previously imagined if there were more money via subsidies to space exploration projects.,Space exploration is necessary for the future survival of humanity,1,0
3180,12234,We should ban the use of child actors,child actors are useful as it allows these children to earn a living doing something they enjoy.,The parents should decide for their child,-1,0
10051,11881,We should ban private military companies,we should not ban private military companies as everyone has right to own legal businesses and people have the right to hire them should they have a desire or need for the service.,Private military companies increase safety,-1,0
15624,6653,We should abolish intellectual property rights,it keeps others from infringing on patented ideas,Intellectual property rights protect against stealing,-1,1
107,10244,We should ban human cloning,having a baby is a gift from god in which we are all individually unique and the practice of human cloning should be banned.,Cloning is unethical/anti-religious,1,1
11760,17642,We should legalize cannabis,it has many good uses & could be a good tax revenue generator for the states & federal government,Legalizing cannabis will reduce black-market/criminal activity,1,0
9933,11763,We should ban private military companies,they may sell weapons to countries that would use them inappropriately,"Private military companies solicit engaging, or prolonging, conflict",1,0
16215,2360,The vow of celibacy should be abandoned,it is a requirement for christianity and each religion has its rules and must be respected,Celibacy allows a priest to focus on God,-1,0
15666,6695,We should abolish intellectual property rights,"people should have a right of ownership to their creations, ideas, and concepts that they created themselves.",Intellectual property rights incentivize investment in developing new products,-1,0
8718,14069,We should end affirmative action,affirmative action is in a way just another form of descrimination. no one should receive extra benefits just based on their race or sex.,Affirmative action reduces quality,1,0
3454,12508,We should ban the use of child actors,"if a child wishes to be an actor and they are given time to be a child, then it should be allowed.",Child performers achieve success/confidence,-1,0
7647,14996,We should end mandatory retirement,people are living healthier longer now and forcing retirement based on arbitrary guidelines like age is a bad idea.,A mandatory retirement age harms the economy,1,0
8469,22324,We should subsidize journalism,we should not subsidize journalism because a lot of the journalists spread false news,It is preferable to spend the money elsewhere,-1,0
4334,4437,We should abandon the use of school uniform,School uniforms decrease bullying by preventing students from being able to make fun of others for their clothing.,School uniform reduces bullying,-1,1
13026,16119,We should fight urbanization,urbanization would have a very negative effect on the environment because of pollution. having clean air and water are always essential for a healthy society.,Restrictions on migration would benefit people in the rural areas economically/socially,1,0
7455,14804,We should end mandatory retirement,Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.,A mandatory retirement age harms the economy,1,0
5607,21317,We should prohibit women in combat,women are not as strong as men so they would struggle,Women should serve in safer roles,1,0
502,10639,We should ban human cloning,human cloning should be banned as the long term effects on the cloned is still uncertain and could lead to long term health complications,Cloning is not understood enough yet,1,1
168,10305,We should ban human cloning,human cloning can give us medical breakthroughs,Cloning can be used for organ replication,-1,0
2429,13455,We should close Guantanamo Bay detention camp,guantanamo serves an important purpose in securely housing foreign suspected criminals for deportation or trial while keeping us soil secure from retaliation for these people.,Closing the Guantanamo bay detention camp would harm national security,-1,1
13439,22689,We should subsidize space exploration,Space exploration is a useless project that only matters for a small number of scientist. there are more important projects to be subsidized for the progress of humanity than this,Space exploration is ineffective,-1,0
6874,20015,We should legalize sex selection,"sex selection would obviously lead to an imbalance and discrimination of one sex, especially in societies that have traditionally viewed women as inferior or unwanted as children.",Sex selection is expensive,-1,0
15085,957,Assisted suicide should be a criminal offence,the right to die is a personal choice and everyone has the right to make it happen if they truly wish,People should have the freedom to choose to end their life,-1,1
12359,18241,We should legalize cannabis,We should not legalize cannabis as it has been proven to have long term mental health and concentration issues.,Cannabis is a gateway-drug/addictive,-1,0
