,Unnamed: 0,topic,argument,key_point,stance,label
10673,7536,We should abolish the right to keep and bear arms,"there is too much gun violence, and too many innocent people are dying.",Guns lead to accidental deaths,1,0
13939,23189,We should subsidize space exploration,we need to explore space so we can find minerals that are getting depleted on our planet,Space exploration improves science/technology,1,0
14399,271,Assisted suicide should be a criminal offence,assisted suicide is still one person essentially killing another,Assisted suicide violates the doctor's role,1,0
1354,5535,We should abolish capital punishment,"capital punishment provides a more effective deterrent that simple fines, penalties or light sentences in prison.",The death penalty saves costs to the state,-1,0
10664,7527,We should abolish the right to keep and bear arms,there have been too many mass shootings where one person has caused enormous destruction just because of their right to bear arms.,Guns can fall into the wrong hands,1,0
3446,12500,We should ban the use of child actors,if a child wants to act they have every right to,Child performers are necessary for roles,-1,0
3701,12755,We should ban the use of child actors,"there is no logical reason to ban the use of child actors, they have protections so they are not overworked.",Acting may be the child's dream,-1,0
7420,14769,We should end mandatory retirement,"mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.",A mandatory retirement age creates opportunities for other workers,-1,1
9187,14538,We should end affirmative action,we should end affirmative action since it unfairly promotes people based on their minority instead of promoting people more suited for the job. it's reverse discrimination.,Affirmative action diminishes the achievements of minorities,1,0
8229,22084,We should subsidize journalism,no profession should be unfairly treated better than another & given preferential subsidies,It is preferable to spend the money elsewhere,-1,0
14166,38,Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide should not be allowed because many times people can still get better,1,0
10113,11943,We should ban private military companies,"Without private military companies, the military would be ill equipped and not able to get the tools they need,",Private military companies are well-trained/better equipped,-1,1
16621,2766,The vow of celibacy should be abandoned,"the vow of celibacy must be abandoned because it is something old, the world has evolved and this is going to be understood by the faithful.",Celibacy reduces the pool of people wanting to become priests,1,0
9853,11683,We should ban private military companies,"the government should not hold the monopoly on the military and private military companies should not be banned, as it is a free world enterprise.",Hiring private military companies is financially beneficial,-1,0
14859,731,Assisted suicide should be a criminal offence,Murder is murder no matter the circumstances,Assisted suicide violates the doctor's role,1,0
9550,11380,We should ban private military companies,private military companies can hold bias and due to past experiences and can result in dangerous sctivities for the wrong reasons.,Private military companies cannot be trusted to be loyal to the hiring country,1,0
4387,4490,We should abandon the use of school uniform,"School uniforms encourage students to express themselves in ways other than by the clothes they wear. They can express themselves through writing, music, drawing, dance, etc.",School uniforms encourage discipline or focus on learning,-1,0
