,Unnamed: 0,topic,argument,key_point,stance,label
5020,5123,We should abandon the use of school uniform,"When dangerous organizations like gangs are involved, requiring a school uniform can help keep students safe.",School uniforms saves costs,-1,0
6909,20050,We should legalize sex selection,"sx selection is a crime, we cannot really allow",Sex selection reaffirms gender stereotypes/biases,-1,0
10463,7326,We should abolish the right to keep and bear arms,the right to bear arms is a constitutional right for all citizens.,Gun ownership promotes self protection,-1,0
7376,14725,We should end mandatory retirement,its unfair to force people to quit working,A mandatory retirement reduces the quality of life for those forced to retire,1,0
6161,19302,We should legalize sex selection,"if one gender greatly outnumbers the other, it could cause big problems when they become adults and can't find partners to have children with.",Sex selection can lead to gender imbalance,-1,1
13573,22823,We should subsidize space exploration,space exploration is the future of our lives and should be continued.,Space exploration is necessary for the future survival of humanity,1,1
14712,584,Assisted suicide should be a criminal offence,Giving someone the medicine to end a life other than natural causes is assisting in murder.,Assisted suicide is akin to killing someone,1,1
3571,12625,We should ban the use of child actors,many great actors of today started as children and had no problem in their growth,Child performers should not be banned as long as there is supervision/regulation,-1,0
15962,2107,The vow of celibacy should be abandoned,a vow of celibacy is an archaic stricture that limits the freedoms of priests and harms their relationship with the world as they are less relatable to normal people and are suppressing their natural drives.,Celibacy is unhealthy/unnatural,1,1
10871,7734,We should abolish the right to keep and bear arms,we shouldn't abolish the right to keep and bear arms because it is one of our first constitutional rights,Gun ownership is a right,-1,1
6293,19434,We should legalize sex selection,legalizing sex selection goes against all laws of nature.,It is unethical/unhealthy for parents to intervene,-1,1
8230,22085,We should subsidize journalism,Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.,Subsidies will increase the quality of journalism,1,1
14995,867,Assisted suicide should be a criminal offence,people with terminal illnesses are going to die. by not allowing assisted suicide we are making these people suffer deeply which in inhumane.,The terminally ill would benefit from assisted suicide,-1,1
